"id","region","name","group_title","tvg_id","last_status","stream_url"
"cnn_originals_us","US","CNN Originals","XUMO🇺🇸: History & Learning","XUMO_99951387","200","https://dbrb49pjoymg4.cloudfront.net/10001/99951387/hls/playlist.m3u8?ads.xumo_channelId=99951387&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=WBDCNNOriginals&ads.csid=xumo_[PLATFORM]_WBDCNNOriginals_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=[CONTENT_IMDB_GENRE]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=[content_genre]&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=4194&ads.xumo_contentName=WBDCNNOriginals&ads.xumo_providerId=4194&ads.xumo_providerName=WBDCNNOriginals&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951387&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
"court_tv_us","US","Court TV","News","CourtTV.us@SD","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-courttv-tablo/playlist.m3u8"
"court_tv_legendary_trials_us","US","Court TV Legendary Trials","News","XUMO_99951233","200","https://dbrb49pjoymg4.cloudfront.net/10001/99951233/hls/playlist.m3u8?ads.xumo_channelId=99951233&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=ScrippsCourtTVLegendaryTrials&ads.csid=xumo_[PLATFORM]_ScrippsCourtTVLegendaryTrials_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3924&ads.xumo_contentName=ScrippsCourtTVLegendaryTrials&ads.xumo_providerId=3924&ads.xumo_providerName=ScrippsCourtTVLegendaryTrials&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951233&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
"euronews_world_au_geo_us","US","Euronews World (AU) Geo","General","","206","https://amg00882-amg00882c2-lg-au-4259.playouts.now.amagi.tv/playlist.m3u8"
"euronews_world_nz_us","US","Euronews World (NZ)","General","","206","https://amg00882-amg00882c2-lg-nz-6872.playouts.now.amagi.tv/playlist.m3u8"
"fox_news_radio_720p_us","US","Fox News Radio (720p)","News","FoxNewsRadio.us@SD","200","https://radiovid.foxnews.com/hls/live/661547/RADIOVID/index.m3u8"
"grit_xtra_1080p_us","US","Grit Xtra (1080p)","Entertainment","GritXtra.us@SD","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-gritxtra-tablo/playlist.m3u8"
"moviesphere_720p_us","US","Moviesphere (720p)","Movies","MovieSphere.us@SD","200","https://jmp2.uk/plu-6401d85a49839300087b116c.m3u8"
"moviesphere_de_geo_us","US","MovieSphere (DE) Geo","General","","206","https://amg00353-amg00353c42-lg-de-5243.playouts.now.amagi.tv/playlist.m3u8"
"moviesphere_au_1080p_us","US","MovieSphere AU (1080p)","Movies","MovieSphere.us@AU","200","https://amg00353-lionsgatefilmsi-moviesphereaus-samsungau-7qzhf.amagi.tv/playlist/amg00353-lionsgatefilmsi-moviesphereaus-samsungau/playlist.m3u8"
"moviesphere_by_lionsgate_us_2","US","MovieSphere by Lionsgate","Movies","MovieSphere.us@CA","200","https://jmp2.uk/plu-64a3d96f060e830008af6745.m3u8"
"moviesphere_by_lionsgate_us","US","MovieSphere by Lionsgate","General","XUMO_99951251","200","https://dbrb49pjoymg4.cloudfront.net/10001/99951251/hls/playlist.m3u8?ads.xumo_channelId=99951251&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=LionsgateMovieSphere&ads.csid=xumo_[PLATFORM]_LionsgateMovieSphere_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=Movie,Movies,FF,Entertainment,GV,Drama,GD&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Movie,Movies,FF,Entertainment,GV,Drama,GD&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3955&ads.xumo_contentName=LionsgateMovieSphere&ads.xumo_providerId=3955&ads.xumo_providerName=LionsgateMovieSphere&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951251&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
"moviesphere_uk_1080p_us","US","MovieSphere UK (1080p)","Movies","MovieSphere.us@UK","206","https://moviesphereuk-samsunguk.amagi.tv/playlist.m3u8"
"mtv_en_espa_ol_us","US","MTV en español","Entertainment","MTVenEspanol.us@SD","200","https://jmp2.uk/plu-5cf96d351652631e36d4331f.m3u8"
"mtv_latin_america_us","US","MTV Latin America","Entertainment","MTVLatinAmerica.us@Panregional","206","http://201.217.246.42:44310/Live/3fcb6e26785fd8d415571b26dc3cf5d3/local-50.playlist.m3u8"
"mtv_ridiculousness_us","US","MTV Ridiculousness","Entertainment","MTVRidiculousness.us@Germany","200","https://jmp2.uk/plu-5f9847fd513250000728a9a5.m3u8"
