"id","name","region","group_title","tvg_id","enabled","last_checked_ok","last_status","last_error"
"wipeout_xtra_1080p_us","Wipeout Xtra (1080p)","US","Entertainment","WipeoutXtra.us@SD","false","true","200",""
"wwon_tv_ch_48_us","WWON TV CH 48","US","Entertainment","WWONTVChannel48.us@SD","false","true","206",""
"xplore_1080p_us","Xplore (1080p)","US","Entertainment","XploreTV.us@SD","false","true","200",""
"young_hollywood_1080p_geo_blocked_us","Young Hollywood (1080p) [Geo-blocked]","US","Entertainment","YoungHollywood.us@SD","false","true","200",""
"yta_tv_us","YTA TV","US","Entertainment","YTATV.us@SD","false","true","206",""
"like_gecko_chrome_145_0_0_0_safari_537_36_edg_145_0_0_0_group_title_movies_24_hour_free_movies_720p_us","like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Movies"",24 Hour Free Movies (720p)","US","Movies","24HourFreeMovies.us@SD","false","true","206",""
"30a_tv_classic_movies_720p_us","30A TV Classic Movies (720p)","US","Movies","30ATVClassicMovies.us@SD","false","true","206",""
"50_cent_action_720p_us","50 Cent Action (720p)","US","Movies;Series","50CentAction.us@SD","false","true","200",""
"70s_cinema_us","70s Cinema","US","Movies","70sCinema.us@SD","false","true","200",""
"80s_rewind_us","80s Rewind","US","Movies","80sRewind.us@SD","false","true","200",""
"90s_throwback_us","90s Throwback","US","Movies","90sThrowback.us@SD","false","true","200",""
"abn_bible_movies_720p_us","ABN Bible Movies (720p)","US","Movies;Religious","ABNBibleMoviesChannel.us@SD","false","true","206",""
"adrenalina_pura_tv_us","Adrenalina Pura TV","US","Movies","AdrenalinaPuraTV.us@Brazil","false","true","200",""
"alien_nation_by_dust_1080p_us","Alien Nation by DUST (1080p)","US","Movies","DUST.us@SD","false","true","206",""
"american_horrors_480p_us","American Horrors (480p)","US","Movies","AmericanHorrors.us@SD","false","true","206",""
"artflix_movie_classics_720p_us","Artflix Movie Classics (720p)","US","Classic;Movies","ARTFLIXMovieClassics.us@SD","false","true","206",""
"axn_latin_america_south_2160p_us","AXN Latin America South (2160p)","US","Movies","AXNLatinAmerica.us@South","false","true","206",""
"cine_adrenalina_us","Cine adrenalina","US","Movies","CineAdrenalina.us@SD","false","true","200",""
"cine_cl_sico_us","Cine Clásico","US","Movies","PlutoTVCineClasico.us@US","false","true","200",""
"cine_comedia_us","Cine comedia","US","Movies","PlutoTVCineComedia.us@Spain","false","true","200",""
"cine_premiere_us","Cine Premiere","US","Movies","CinePremiere.us@SD","false","true","200",""
"cine_romantico_720p_us","Cine Romantico (720p)","US","Movies","CineRomantico.us@SD","false","true","200",""
"cine_sony_720p_us","Cine Sony (720p)","US","Movies","CineSony.us@SD","false","true","200",""
"cine_terror_us","Cine terror","US","Movies","CineTerror.us@SD","false","true","200",""
"classic_cinema_240p_not_24_7_us","Classic Cinema (240p) [Not 24/7]","US","Movies","ClassicCinema.us@SD","false","true","200",""
"classic_movies_channel_us","Classic Movies Channel","US","Movies","ClassicMoviesChannel.us@SD","false","true","200",""
"ebony_tv_by_lionsgate_1080p_us","Ebony TV by Lionsgate (1080p)","US","Movies;Series","EbonyTVbyLionsgate.us","false","true","206",""
"ebs_cinema_720p_us","EBS Cinema (720p)","US","Movies","EBSCinema.us@SD","false","true","200",""
"filmes_suspense_us","Filmes Suspense","US","Movies","FilmesSuspense.us@Brazil","false","true","200",""
"filmrise_westerns_720p_us","FilmRise Westerns (720p)","US","Movies","FilmRiseWestern.us@SD","false","true","206",""
"flicks_of_fury_us","Flicks of Fury","US","Movies","FlicksofFury.us@SD","false","true","200",""
"girlfriends_us","Girlfriends","US","Movies","GirlfriendsFilms.us@SD","false","true","200",""
"gravitas_movies_1080p_us","Gravitas Movies (1080p)","US","Movies","GravitasMovies.us@SD","false","true","206",""
"icc_plus_1080p_us","ICC Plus (1080p)","US","Movies","ICCplus.us@SD","false","true","206",""
"kidsflix_1080p_not_24_7_us","KidsFlix (1080p) [Not 24/7]","US","Kids;Movies","KidsFlix.us@SD","false","true","200",""
"made_in_hollywood_us","Made in Hollywood","US","Movies","MadeInHollywood.us@SD","false","true","206",""
"maverick_black_cinema_1080p_us","Maverick Black Cinema (1080p)","US","Movies","MaverickBlackCinema.us@SD","false","true","206",""
"moviedome_720p_us","MOVIEDOME (720p)","US","Movies","Moviedome.us@Germany","false","true","200",""
"moviesphere_720p_us","Moviesphere (720p)","US","Movies","MovieSphere.us@SD","false","true","200",""
"moviesphere_au_1080p_us","MovieSphere AU (1080p)","US","Movies","MovieSphere.us@AU","false","true","200",""
"moviesphere_by_lionsgate_us_2","MovieSphere by Lionsgate","US","Movies","MovieSphere.us@CA","false","true","200",""
